hero0,hero1,hero2,hero3,hero4,hero5,hero6,hero7,hero8,hero9,radiant_win
99,8,30,42,84,35,25,21,26,126,True
106,3,2,109,62,107,47,42,5,82,True
112,40,74,93,105,2,5,14,12,49,True
101,9,31,46,11,95,35,53,109,44,True
42,9,25,101,99,93,74,41,13,5,False
123,108,128,101,41,19,121,9,56,42,False
101,104,105,14,8,34,32,54,9,74,True
13,50,49,84,1,39,74,5,56,71,True
98,45,22,123,8,2,84,44,11,25,False
26,7,41,2,33,1,135,14,76,30,True
87,18,103,10,109,30,79,26,16,21,False
120,99,22,114,39,42,31,14,25,102,False
101,83,18,79,104,59,11,74,26,12,False
19,112,14,44,94,12,111,2,68,97,False
42,36,40,123,112,68,108,4,111,17,False
96,121,36,80,1,68,114,64,62,19,True
74,101,104,6,21,26,105,14,48,39,True
106,99,27,58,67,28,10,94,25,83,True
68,99,10,8,64,33,72,84,35,109,True
22,120,5,36,2,59,99,62,41,74,False
39,70,114,51,6,107,32,50,35,54,False
26,99,104,16,68,18,75,102,91,63,True
22,86,4,19,47,35,54,2,40,26,True
50,120,13,67,40,119,18,98,75,97,True
6,74,33,26,14,16,113,29,99,64,False
26,2,23,10,67,70,11,30,9,120,False
123,94,11,49,37,64,36,88,13,8,False
46,3,96,6,35,42,86,74,37,41,True
26,4,27,129,8,39,45,59,3,9,True
21,95,81,101,33,85,106,42,43,84,True
40,101,54,30,104,2,121,70,26,25,True
113,33,17,30,104,23,86,5,27,58,True
8,72,26,35,108,76,83,44,112,14,True
1,48,14,26,79,6,97,112,19,52,True
14,33,74,93,135,99,11,1,50,121,True
14,30,36,58,8,85,112,51,94,31,False
63,68,85,41,15,42,31,17,25,5,False
25,22,120,110,70,23,32,29,84,68,False
128,53,58,80,95,15,113,11,43,42,True
30,97,44,9,13,6,50,32,87,70,False
48,114,70,9,90,98,87,76,45,67,True
10,2,11,27,75,101,31,41,8,74,False
50,128,84,86,97,91,92,14,41,74,True
10,76,84,16,75,98,88,54,121,74,False
57,101,26,44,49,30,16,68,32,23,True
67,123,119,99,55,26,47,19,64,86,True
22,68,21,112,109,12,19,26,50,104,True
48,31,36,42,85,11,83,33,2,113,True
63,46,101,67,96,123,104,98,68,20,False
59,120,34,44,126,20,21,42,16,19,False
84,67,102,46,50,48,121,34,86,104,True
44,106,104,62,11,123,74,18,76,71,True
75,27,6,53,22,114,30,26,104,56,True
26,114,74,14,121,8,9,99,59,30,False
68,32,67,99,100,98,71,70,104,6,True
46,83,45,31,53,34,95,22,42,90,True
12,84,47,83,21,14,120,35,7,32,True
70,68,119,90,22,32,27,50,6,47,False
57,66,82,18,121,99,38,15,55,65,False
10,104,74,94,85,9,20,62,35,44,True
90,19,14,114,68,112,22,8,38,35,False
43,90,135,65,22,36,6,111,58,99,False
56,84,6,59,14,21,1,29,74,27,True
119,15,17,56,94,35,63,99,18,97,True
10,23,8,84,74,58,14,34,1,39,True
25,8,44,59,5,39,84,14,106,126,True
9,104,6,28,17,47,99,123,75,18,True
54,11,72,75,111,81,64,25,99,6,False
18,11,5,120,25,17,71,14,70,30,True
99,83,9,12,61,44,71,35,27,37,True
126,29,11,40,54,42,31,13,75,14,True
105,12,56,121,26,74,101,36,41,53,True
70,44,11,32,25,99,7,22,28,5,True
46,49,42,22,84,14,74,19,26,93,False
46,49,50,16,68,83,6,29,105,35,True
5,9,11,21,30,14,70,23,100,33,False
48,21,121,25,51,8,15,113,84,88,False
11,93,19,98,108,100,41,87,135,46,False
22,135,8,14,65,26,48,76,119,85,False
32,88,84,2,35,9,7,1,74,23,True
11,16,27,21,114,74,84,83,29,93,True
14,97,22,104,8,2,55,74,67,26,True
7,62,112,88,121,111,90,3,32,36,True
6,21,20,110,106,107,44,16,41,58,True
112,107,97,64,93,100,89,68,17,14,False
94,53,81,16,6,72,42,50,12,9,True
34,10,30,16,25,64,41,55,11,128,False
11,67,47,2,40,104,46,48,26,123,False
30,90,44,14,107,105,32,71,106,119,False
48,1,44,14,7,2,46,12,111,35,False
18,74,45,98,119,14,95,126,129,11,True
86,99,44,3,14,120,72,96,112,45,False
123,135,58,37,12,25,81,106,14,84,True
90,85,59,71,44,21,26,6,126,104,True
46,41,84,75,28,67,68,104,26,88,True
40,64,36,7,81,25,47,99,44,101,True
50,30,61,72,78,14,10,51,68,123,False
39,21,45,8,59,41,35,84,4,25,False
5,28,73,6,99,44,47,55,74,87,True
9,56,67,16,84,34,26,113,42,54,True
68,49,70,100,120,2,121,67,90,74,False
43,92,72,15,20,22,96,73,21,114,True
21,74,84,94,119,43,87,112,76,48,True
56,84,5,10,42,48,13,64,96,68,True
99,25,11,5,1,114,2,123,49,62,False
10,75,83,14,26,69,86,11,84,8,True
102,82,8,114,74,31,48,42,75,104,True
8,119,99,88,80,86,6,32,101,49,False
49,22,1,26,107,128,25,5,33,84,True
7,49,8,22,97,16,129,67,86,64,False
6,35,44,4,22,76,114,31,99,49,True
6,3,14,7,86,49,25,16,51,96,False
20,114,119,6,9,66,106,21,49,36,True
25,49,6,68,100,14,39,26,98,67,False
30,8,17,123,42,114,20,35,98,84,True
101,97,68,1,25,112,26,71,32,6,True
42,114,84,21,81,15,73,11,97,119,False
30,70,50,12,17,2,62,8,26,106,False
13,93,33,57,84,109,30,7,98,10,True
70,84,6,20,11,104,1,83,46,64,True
106,37,44,54,26,34,16,31,6,20,True
74,33,48,121,10,103,101,1,47,107,False
20,114,66,59,43,63,120,57,77,129,False
5,74,50,48,2,54,106,27,14,120,False
14,36,106,9,93,123,25,99,83,114,True
16,10,13,9,1,129,14,21,25,95,False
41,100,111,26,59,99,48,112,71,120,False
14,67,93,5,94,108,27,44,105,45,False
2,62,23,48,31,68,81,37,112,12,False
114,94,36,22,26,87,119,14,81,63,False
29,34,71,20,70,58,113,105,53,33,True
99,57,112,48,74,67,17,98,30,101,True
105,47,99,112,48,74,84,51,101,97,False
28,55,59,48,40,75,84,63,52,15,True
41,135,97,9,35,64,44,96,104,56,False
49,65,88,94,73,8,30,128,102,21,True
33,54,129,45,26,16,39,36,112,93,True
59,42,69,106,5,35,16,54,87,23,False
59,39,9,105,11,81,22,26,74,109,False
126,14,34,105,67,5,47,48,21,83,False
82,26,47,2,119,32,22,109,44,5,True
14,52,48,11,27,54,53,26,94,114,True
9,2,32,74,87,112,16,64,8,73,False
84,8,35,6,21,54,18,75,86,46,True
29,106,18,15,50,119,61,120,67,99,False
21,14,13,11,93,41,74,34,78,5,True
56,5,103,41,68,108,74,26,86,12,True
28,86,14,49,93,99,25,17,10,43,False
63,70,31,84,29,9,42,14,93,135,False
112,36,80,14,72,84,83,75,51,85,False
112,12,74,2,25,7,26,22,1,81,True
97,9,35,107,8,76,68,84,44,94,True
49,101,54,71,104,129,12,107,128,126,True
5,70,54,22,25,45,6,81,32,47,False
51,76,9,98,56,35,5,1,71,16,True
8,21,18,27,3,17,107,100,48,129,False
114,83,58,35,75,90,26,135,25,46,True
97,20,48,84,11,128,46,50,104,18,True
47,41,101,51,5,102,74,28,98,60,True
28,67,121,123,17,48,84,63,74,16,False
35,2,102,32,7,81,123,46,74,33,True
95,22,111,104,40,63,93,84,25,35,False
47,44,15,56,68,36,70,72,84,20,False
47,14,26,69,11,85,41,3,72,35,True
99,8,30,42,84,35,25,21,26,126,True
106,3,2,109,62,107,47,42,5,82,True
112,40,74,93,105,2,5,14,12,49,True
101,9,31,46,11,95,35,53,109,44,True
42,9,25,101,99,93,74,41,13,5,False
123,108,128,101,41,19,121,9,56,42,False
101,104,105,14,8,34,32,54,9,74,True
13,50,49,84,1,39,74,5,56,71,True
98,45,22,123,8,2,84,44,11,25,False
26,7,41,2,33,1,135,14,76,30,True
87,18,103,10,109,30,79,26,16,21,False
91,18,129,71,26,7,86,92,11,42,True
25,104,6,53,30,101,90,123,8,7,True
30,32,22,14,2,7,40,121,84,4,True
8,103,35,12,22,2,135,72,51,14,True
93,101,120,31,9,84,30,4,33,113,False
46,84,59,5,56,6,20,4,25,22,False
57,123,73,85,8,18,105,19,98,64,True
37,89,70,86,62,120,95,44,29,16,True
21,104,14,44,74,9,27,13,129,114,False
6,62,17,26,64,123,20,95,33,74,True
15,111,14,67,74,48,98,25,50,26,True
68,33,18,6,44,17,20,29,102,104,True
79,69,126,62,48,56,108,114,50,49,False
83,63,105,26,47,5,6,94,2,25,False
5,88,12,21,62,79,135,35,42,52,True
47,60,56,89,26,102,135,62,129,40,True
27,51,35,15,71,77,23,75,13,25,False
2,62,70,34,27,93,10,50,108,25,True
11,28,64,93,98,56,104,48,36,20,False
59,70,34,105,72,9,17,67,21,86,False
14,129,43,27,13,36,85,74,112,105,True
34,74,25,28,104,26,2,103,17,8,True
42,123,35,119,53,62,93,106,25,14,False
72,126,101,2,6,35,4,18,112,73,True
112,99,44,8,26,54,103,135,17,31,False
51,1,63,21,83,26,102,35,44,14,True
21,69,123,68,63,71,99,26,46,54,True
16,8,1,126,20,41,101,14,74,50,True
78,34,110,39,68,40,48,93,44,33,False
84,61,12,86,36,21,85,7,114,2,False
49,35,44,57,95,67,37,91,36,75,True
4,26,6,112,92,71,35,123,48,27,False
99,25,100,28,41,37,19,14,77,73,True
85,25,9,4,104,21,84,53,79,93,False
26,96,27,86,109,7,94,34,90,110,True
74,135,86,95,9,42,53,67,34,121,False
128,70,111,15,26,113,95,5,1,110,True
22,57,109,26,35,126,112,47,46,4,True
75,106,70,49,32,15,77,85,22,47,True
56,113,16,62,40,42,30,77,105,36,False
45,26,17,100,81,12,84,14,35,22,True
64,2,11,50,35,22,129,93,15,101,True
36,94,31,61,5,2,52,70,14,98,False
112,14,34,27,62,32,94,93,41,26,True
42,62,81,11,121,26,14,35,6,47,True
5,27,1,2,52,55,84,34,75,93,True
18,90,81,25,26,74,28,8,126,5,False
85,13,14,20,41,62,119,8,82,59,False
109,1,15,108,68,26,35,11,34,4,True
26,29,94,44,16,6,1,69,84,27,True
50,119,13,1,47,14,60,48,11,26,True
107,5,95,28,49,83,96,81,26,48,False
94,99,42,34,45,84,47,28,102,26,False
6,14,25,29,9,135,84,41,98,53,True
76,48,84,53,120,16,32,57,8,45,True
86,75,88,70,104,106,40,35,129,9,True
50,55,113,48,101,100,13,22,72,26,True
11,91,72,83,28,9,8,26,16,120,False
93,31,112,74,55,5,86,41,26,102,True
47,45,44,26,17,72,58,135,74,40,True
28,20,87,13,93,8,88,22,2,26,False
41,84,75,48,73,27,59,8,79,35,False
26,74,113,107,18,39,12,112,83,1,True
75,64,120,51,41,86,1,11,14,16,False
64,44,128,22,6,14,36,25,48,75,False
22,102,31,42,97,46,44,49,120,68,True
11,16,27,21,114,74,84,83,29,93,True
14,97,22,104,8,2,55,74,67,26,True
7,62,112,88,121,111,90,3,32,36,True
6,21,20,110,106,107,44,16,41,58,True
112,107,97,64,93,100,89,68,17,14,False
94,53,81,16,6,72,42,50,12,9,True
34,10,30,16,25,64,41,55,11,128,False
11,67,47,2,40,104,46,48,26,123,False
30,90,44,14,107,105,32,71,106,119,False
48,1,44,14,7,2,46,12,111,35,False
18,74,45,98,119,14,95,126,129,11,True
86,99,44,3,14,120,72,96,112,45,False
123,135,58,37,12,25,81,106,14,84,True
90,85,59,71,44,21,26,6,126,104,True
46,41,84,75,28,67,68,104,26,88,True
40,64,36,7,81,25,47,99,44,101,True
50,30,61,72,78,14,10,51,68,123,False
39,21,45,8,59,41,35,84,4,25,False
5,28,73,6,99,44,47,55,74,87,True
9,56,67,16,84,34,26,113,42,54,True
68,49,70,100,120,2,121,67,90,74,False
43,92,72,15,20,22,96,73,21,114,True
21,74,84,94,119,43,87,112,76,48,True
56,84,5,10,42,48,13,64,96,68,True
99,25,11,5,1,114,2,123,49,62,False
10,75,83,14,26,69,86,11,84,8,True
102,82,8,114,74,31,48,42,75,104,True
8,119,99,88,80,86,6,32,101,49,False
49,22,1,26,107,128,25,5,33,84,True
44,74,94,112,42,68,11,22,1,41,False
52,2,25,9,26,106,35,55,14,69,True
23,10,3,110,12,94,49,105,68,101,False
70,85,43,7,128,5,119,20,32,67,False
10,76,64,3,114,35,13,7,52,21,True
90,25,22,44,111,74,41,14,15,83,False
46,32,27,2,48,8,10,43,21,30,False
126,9,99,48,2,66,71,56,77,18,False
41,121,8,88,28,30,1,74,129,71,False
84,108,9,8,50,119,100,114,47,94,True
90,18,49,28,32,15,54,16,61,10,True
91,48,101,22,44,63,89,95,99,53,False
96,1,35,20,62,89,94,2,48,84,True
27,41,21,135,9,26,123,89,49,46,False
22,95,40,6,1,32,101,50,8,109,False
70,22,104,119,101,19,2,31,44,17,False
44,14,27,104,63,72,5,34,93,2,False
112,53,47,129,90,72,126,128,39,95,True
61,93,119,129,102,123,97,87,99,126,False
44,27,19,128,16,5,36,1,13,99,True
35,30,34,97,22,17,99,18,26,101,True
105,114,27,2,67,95,64,99,36,6,True
50,13,62,70,55,5,74,9,2,32,True
2,74,68,17,94,28,9,46,50,44,False
25,68,42,86,99,50,11,88,14,41,False
68,22,23,75,6,74,84,13,95,9,True
35,14,63,39,106,27,8,17,9,41,True
35,86,22,59,5,101,14,99,36,75,False
25,62,19,27,101,35,86,32,44,82,False
96,94,87,70,83,110,6,42,69,45,True
26,28,76,10,14,29,106,86,20,94,False
18,26,126,17,46,120,112,14,1,61,True
67,71,91,45,44,37,14,7,107,20,True
105,8,99,97,20,84,47,11,68,93,True
108,7,26,45,8,96,113,53,105,11,True
21,74,73,123,81,47,59,26,62,36,False
37,95,108,16,7,119,78,84,128,11,True
39,1,42,49,29,106,99,120,107,84,False
5,81,41,74,59,39,97,7,30,70,True
123,53,71,21,32,1,50,46,36,2,True
27,70,2,101,114,74,104,41,84,30,True
14,21,13,44,58,93,11,74,100,123,False
9,64,99,6,13,107,47,109,26,57,True
33,103,49,84,91,126,81,21,43,95,True
1,68,11,33,36,9,84,34,103,102,False
21,84,35,49,44,29,9,23,111,90,True
8,99,63,96,36,44,50,32,48,46,True
18,35,44,105,114,5,60,50,41,27,False
12,84,128,36,53,44,129,9,34,33,False
98,112,21,2,93,14,22,25,52,120,False
46,54,1,29,26,74,25,27,5,2,True
49,14,109,46,121,107,44,68,2,47,False
44,20,67,42,11,71,46,14,1,104,False
112,84,9,82,12,61,81,15,119,58,True
57,104,20,11,70,25,121,97,16,21,True
27,119,14,35,53,22,33,83,26,48,False
11,26,5,15,12,8,121,74,14,93,True
75,126,11,19,56,7,14,101,35,68,False
42,36,87,4,22,46,14,58,104,1,True
42,87,99,47,110,36,104,44,37,101,True
53,14,11,119,84,2,121,25,48,4,True
32,9,13,25,84,69,31,54,126,121,True
84,70,75,39,14,25,41,66,11,68,True
56,46,39,135,123,62,51,48,29,21,True
8,2,111,75,59,68,25,58,19,104,True
39,135,14,27,42,104,10,68,93,75,False
26,59,10,39,12,68,47,14,20,72,True
34,74,30,84,128,14,44,26,28,126,False
106,89,100,75,30,46,105,119,6,36,False
91,18,129,71,26,7,86,92,11,42,True
25,104,6,53,30,101,90,123,8,7,True
30,32,22,14,2,7,40,121,84,4,True
8,103,35,12,22,2,135,72,51,14,True
93,101,120,31,9,84,30,4,33,113,False
46,84,59,5,56,6,20,4,25,22,False
57,123,73,85,8,18,105,19,98,64,True
37,89,70,86,62,120,95,44,29,16,True
21,104,14,44,74,9,27,13,129,114,False
6,62,17,26,64,123,20,95,33,74,True
15,111,14,67,74,48,98,25,50,26,True
68,33,18,6,44,17,20,29,102,104,True
79,69,126,62,48,56,108,114,50,49,False
83,63,105,26,47,5,6,94,2,25,False
5,88,12,21,62,79,135,35,42,52,True
47,60,56,89,26,102,135,62,129,40,True
27,51,35,15,71,77,23,75,13,25,False
2,62,70,34,27,93,10,50,108,25,True
11,28,64,93,98,56,104,48,36,20,False
59,70,34,105,72,9,17,67,21,86,False
14,129,43,27,13,36,85,74,112,105,True
34,74,25,28,104,26,2,103,17,8,True
42,123,35,119,53,62,93,106,25,14,False
72,126,101,2,6,35,4,18,112,73,True
112,99,44,8,26,54,103,135,17,31,False
51,1,63,21,83,26,102,35,44,14,True
21,69,123,68,63,71,99,26,46,54,True
31,8,97,107,72,2,84,121,9,74,False
23,45,26,119,62,47,68,33,109,73,False
104,110,93,23,53,86,81,9,13,14,True
29,99,112,114,50,120,14,5,64,44,True
46,54,21,22,25,86,6,27,128,104,True
14,123,135,114,119,10,100,5,74,104,True
101,70,113,83,63,129,5,12,14,9,False
45,22,57,11,21,59,84,4,32,67,False
98,68,54,67,113,9,95,105,14,43,True
44,31,26,99,102,21,108,25,54,68,True
7,92,26,18,120,10,68,2,105,1,True
44,49,107,68,46,21,67,35,85,120,False
7,6,15,101,2,60,39,81,26,35,False
99,35,50,113,17,10,40,111,22,14,True
100,27,20,17,23,129,10,14,26,5,True
87,72,80,49,26,13,83,30,70,9,False
33,49,18,74,50,46,7,112,11,42,True
63,52,85,3,110,6,35,10,7,61,False
101,33,25,46,48,41,99,26,6,84,False
74,123,105,4,135,6,9,28,83,54,True
35,113,2,50,1,41,74,84,22,14,False
3,7,48,98,11,14,64,93,62,20,True
114,26,104,20,14,10,54,35,74,91,False
56,98,39,20,72,112,69,94,110,18,True
64,50,99,67,74,36,119,2,20,6,False
40,75,22,86,89,56,44,14,5,26,False
27,11,101,2,18,6,71,30,93,74,True
71,49,8,10,31,73,6,51,84,99,True
129,41,33,86,26,73,74,14,30,19,False
21,63,50,82,104,105,74,85,6,47,False
99,71,35,8,83,113,50,104,13,84,False
47,11,46,54,101,105,14,33,111,123,True
109,74,104,52,25,33,49,14,101,6,False
77,5,82,105,109,14,48,107,58,36,True
5,49,34,114,44,26,20,12,71,104,False
73,72,14,68,46,101,71,74,135,12,False
17,21,6,68,23,19,16,27,59,114,False
25,47,81,48,53,44,42,104,119,14,False
2,62,70,121,23,120,93,31,4,21,True
23,35,9,54,11,31,48,114,46,1,True
48,71,39,37,68,98,50,32,13,22,False
86,128,67,13,135,110,30,70,52,81,True
105,2,4,62,84,53,83,82,44,1,True
123,12,11,19,99,61,8,73,71,30,False
9,50,110,106,67,22,27,97,71,70,False
50,74,12,57,22,6,69,17,68,27,False
6,49,33,71,12,67,89,25,119,102,True
67,26,46,68,14,2,11,49,105,114,True
2,9,27,76,48,21,5,44,67,30,True
74,93,84,9,98,8,40,2,35,22,True
123,2,11,30,45,18,99,28,35,42,False
33,6,77,75,35,19,32,10,76,68,True
4,31,35,27,58,48,105,34,99,13,False
87,113,44,129,39,23,65,67,50,9,False
96,88,34,68,114,30,44,48,112,81,True
5,129,90,13,70,22,2,50,42,51,False
74,54,90,99,106,93,39,35,68,14,False
41,36,25,75,93,76,47,85,5,81,False
84,31,67,35,40,14,102,62,22,6,False
26,99,6,109,119,21,100,45,2,1,True
126,107,44,3,123,102,2,72,14,111,False
35,26,121,102,55,48,40,22,30,49,True
99,103,86,56,77,71,28,12,106,75,False
126,42,27,81,25,28,8,56,35,18,True
44,74,94,112,42,68,11,22,1,41,False
52,2,25,9,26,106,35,55,14,69,True
23,10,3,110,12,94,49,105,68,101,False
70,85,43,7,128,5,119,20,32,67,False
10,76,64,3,114,35,13,7,52,21,True
90,25,22,44,111,74,41,14,15,83,False
46,32,27,2,48,8,10,43,21,30,False
126,9,99,48,2,66,71,56,77,18,False
41,121,8,88,28,30,1,74,129,71,False
84,108,9,8,50,119,100,114,47,94,True
90,18,49,28,32,15,54,16,61,10,True
91,48,101,22,44,63,89,95,99,53,False
96,1,35,20,62,89,94,2,48,84,True
27,41,21,135,9,26,123,89,49,46,False
22,95,40,6,1,32,101,50,8,109,False
70,22,104,119,101,19,2,31,44,17,False
44,14,27,104,63,72,5,34,93,2,False
112,53,47,129,90,72,126,128,39,95,True
61,93,119,129,102,123,97,87,99,126,False
44,27,19,128,16,5,36,1,13,99,True
35,30,34,97,22,17,99,18,26,101,True
105,114,27,2,67,95,64,99,36,6,True
50,13,62,70,55,5,74,9,2,32,True
2,74,68,17,94,28,9,46,50,44,False
25,68,42,86,99,50,11,88,14,41,False
68,22,23,75,6,74,84,13,95,9,True
35,14,63,39,106,27,8,17,9,41,True
35,86,22,59,5,101,14,99,36,75,False
25,62,19,27,101,35,86,32,44,82,False
96,94,87,70,83,110,6,42,69,45,True
47,69,83,78,35,23,88,63,26,9,True
74,22,119,113,61,63,93,30,54,25,False
22,74,54,31,6,60,76,99,81,20,False
85,32,82,61,22,11,40,121,44,54,True
41,101,25,74,8,61,70,27,48,26,False
45,11,19,99,81,104,74,22,100,75,False
86,54,95,106,129,35,77,135,48,29,False
111,83,114,47,22,38,16,39,8,12,True
11,57,70,26,100,102,69,32,21,25,False
50,72,14,45,26,119,32,88,68,135,False
94,30,108,11,64,57,48,123,45,68,False
78,14,26,102,48,69,93,87,25,86,True
63,85,23,12,50,58,26,48,17,69,True
87,48,25,96,33,17,8,26,71,105,False
87,41,112,119,120,100,106,39,35,21,False
54,35,72,71,70,58,23,63,2,43,False
50,73,86,53,94,120,26,33,70,14,True
48,113,123,33,54,62,30,95,11,18,True
67,59,71,101,31,14,123,105,15,29,True
28,21,3,32,20,68,29,86,84,1,False
76,22,50,48,46,9,14,42,21,84,False
81,8,46,84,26,23,120,62,119,30,False
74,55,71,97,81,105,112,42,27,62,False
12,1,58,10,40,79,91,52,71,105,True
25,79,129,74,93,54,26,106,37,23,True
83,17,105,51,56,44,5,84,62,68,True
35,73,126,47,103,54,74,70,1,14,False
103,129,48,75,58,101,14,45,26,109,False
104,75,14,81,53,108,76,36,26,32,True
62,20,73,3,95,111,61,128,42,47,False
76,14,58,15,93,32,35,56,36,26,False
94,102,35,27,16,12,25,2,31,84,False
119,109,102,74,9,13,104,93,5,86,False
10,63,90,1,9,68,74,44,120,84,False
99,94,106,86,83,7,76,8,88,14,True
121,46,30,14,8,87,102,65,33,6,False
51,36,48,76,27,11,9,129,85,44,True
103,48,126,14,86,9,4,42,21,88,True
129,126,88,109,59,70,26,34,86,96,True
5,39,2,43,8,33,88,59,26,11,False
59,76,14,57,70,18,8,123,53,9,False
49,126,48,14,112,10,75,36,44,26,True
83,47,40,78,99,41,15,26,57,35,False
54,100,123,121,23,32,128,42,84,9,False
53,92,78,104,76,101,36,69,73,15,False
49,12,51,9,58,62,97,120,14,35,False
35,86,109,69,21,17,48,66,85,68,True
39,99,56,75,35,11,23,6,123,9,True
102,35,11,2,26,79,29,5,18,94,True
104,54,64,68,126,27,14,8,76,29,False
25,19,56,68,8,39,67,45,94,2,True
28,68,15,5,1,9,13,75,18,72,True
52,6,19,90,99,18,68,72,30,63,True
101,1,25,74,103,121,86,35,21,84,True
8,26,108,35,27,56,86,43,85,39,True
104,21,74,99,107,71,9,52,98,30,True
119,83,15,41,21,6,126,30,25,114,True
68,109,59,120,32,55,12,101,7,94,False
135,47,44,30,34,105,26,84,18,14,True
126,84,108,21,27,4,19,114,59,14,True
45,27,22,2,120,128,121,21,123,104,True
35,95,7,5,69,104,113,22,90,26,True
54,35,98,5,46,38,11,106,105,30,True
12,100,99,16,39,72,54,30,105,26,True
10,120,46,33,63,34,4,70,51,12,False
104,6,31,106,21,11,37,84,35,77,True
41,50,88,99,71,103,95,27,34,119,True
104,96,123,83,1,84,90,129,48,5,False
31,67,13,62,123,30,12,52,35,97,True
94,72,6,5,2,109,26,129,30,34,True
103,74,25,107,36,126,8,112,121,42,False
21,1,15,81,85,34,35,68,18,6,True
31,8,97,107,72,2,84,121,9,74,False
23,45,26,119,62,47,68,33,109,73,False
104,110,93,23,53,86,81,9,13,14,True
29,99,112,114,50,120,14,5,64,44,True
46,54,21,22,25,86,6,27,128,104,True
14,123,135,114,119,10,100,5,74,104,True
101,70,113,83,63,129,5,12,14,9,False
45,22,57,11,21,59,84,4,32,67,False
98,68,54,67,113,9,95,105,14,43,True
44,31,26,99,102,21,108,25,54,68,True
7,92,26,18,120,10,68,2,105,1,True
44,49,107,68,46,21,67,35,85,120,False
7,6,15,101,2,60,39,81,26,35,False
99,35,50,113,17,10,40,111,22,14,True
100,27,20,17,23,129,10,14,26,5,True
87,72,80,49,26,13,83,30,70,9,False
33,49,18,74,50,46,7,112,11,42,True
63,52,85,3,110,6,35,10,7,61,False
101,33,25,46,48,41,99,26,6,84,False
74,123,105,4,135,6,9,28,83,54,True
35,113,2,50,1,41,74,84,22,14,False
3,7,48,98,11,14,64,93,62,20,True
114,26,104,20,14,10,54,35,74,91,False
14,98,64,60,44,99,71,100,56,2,True
39,42,6,129,46,41,20,23,123,4,False
75,68,6,34,96,26,84,72,57,93,False
94,33,107,51,1,5,35,17,22,7,True
1,74,120,71,50,123,21,119,8,14,False
7,17,48,105,5,55,1,123,13,26,False
56,22,67,75,36,32,50,18,99,53,True
71,16,61,10,30,6,37,97,36,102,True
110,14,96,101,28,26,73,75,31,2,True
16,87,62,94,45,110,65,8,46,25,True
71,48,31,15,74,16,9,47,28,59,False
49,12,123,84,13,46,106,27,9,114,False
30,37,19,21,35,14,22,25,29,1,True
42,90,26,6,34,16,25,93,126,21,False
84,22,9,104,72,6,37,16,7,34,False
27,59,104,70,85,83,32,55,35,99,True
20,17,14,25,21,135,11,26,45,86,False
8,126,21,48,35,56,81,1,99,47,False
61,48,123,21,7,52,112,87,72,25,True
86,81,123,6,105,40,129,126,94,114,True
83,44,26,67,106,5,129,10,80,119,False
26,71,22,45,12,105,54,88,74,111,True
60,121,15,84,44,9,78,42,105,107,False
104,72,35,36,85,123,88,119,99,44,False
22,26,109,9,29,30,32,69,62,34,False
63,27,107,75,19,102,96,93,40,105,True
33,84,7,106,8,74,44,86,71,37,False
15,48,26,97,86,46,129,95,64,107,False
129,46,114,87,18,10,84,44,59,120,False
65,102,88,44,70,64,43,14,21,74,False
58,48,71,39,91,21,86,51,50,63,False
35,86,21,69,41,64,74,2,95,67,True
121,52,93,9,78,34,70,119,26,2,False
11,57,8,9,105,2,70,22,90,14,False
85,5,46,49,41,102,126,44,74,26,False
1,50,14,40,73,30,72,63,129,80,True
54,27,8,69,110,64,87,114,99,89,True
43,121,25,42,51,27,77,81,11,50,False
74,19,98,114,26,28,16,30,94,35,True
1,46,9,30,29,21,48,113,20,28,True
93,112,14,104,71,86,64,81,106,2,True
1,7,50,16,6,98,83,43,12,3,True
53,35,105,100,1,87,74,114,16,51,True
44,7,50,26,68,1,101,58,100,74,True
2,113,48,88,105,83,26,47,44,17,True
20,14,27,126,44,129,69,46,22,86,True
88,35,40,85,48,87,123,91,99,5,False
105,42,38,35,22,30,26,47,97,94,False
13,33,35,91,29,71,97,62,121,32,False
13,82,123,8,99,94,61,34,119,27,True
72,112,88,21,78,81,49,74,26,79,False
70,13,113,77,43,121,126,99,93,32,True
90,97,98,68,70,20,21,91,8,99,True
25,97,93,11,69,84,46,81,101,99,False
1,108,47,10,103,43,68,26,44,71,False
28,123,54,84,64,4,16,11,101,14,False
99,75,18,64,37,25,104,11,30,2,False
32,26,65,120,59,9,56,39,8,30,False
114,21,59,33,10,54,58,98,34,112,False
26,76,16,32,28,75,19,93,59,34,True
2,71,15,20,109,52,56,30,121,8,True
5,94,84,15,89,105,112,18,114,73,True
8,31,111,96,47,61,71,48,128,26,True
6,33,16,39,67,23,110,123,94,95,True
20,5,49,48,14,22,104,21,46,73,True
112,26,114,28,40,126,9,21,81,8,True
67,84,126,13,19,74,28,26,8,102,False
50,67,68,9,46,21,82,86,109,14,False
71,17,49,44,84,78,114,65,74,26,False
99,126,56,13,77,73,57,102,17,32,True
47,69,83,78,35,23,88,63,26,9,True
74,22,119,113,61,63,93,30,54,25,False
22,74,54,31,6,60,76,99,81,20,False
85,32,82,61,22,11,40,121,44,54,True
41,101,25,74,8,61,70,27,48,26,False
45,11,19,99,81,104,74,22,100,75,False
86,54,95,106,129,35,77,135,48,29,False
111,83,114,47,22,38,16,39,8,12,True
11,57,70,26,100,102,69,32,21,25,False
